epoch,train_loss,val_loss
1.000000000000000000e+00,9.123077988624572754e-02,3.288593143224716187e-02
2.000000000000000000e+00,3.194727748632431030e-02,3.190455213189125061e-02
3.000000000000000000e+00,2.707461826503276825e-02,1.913639530539512634e-02
4.000000000000000000e+00,2.443646453320980072e-02,1.821882277727127075e-02
5.000000000000000000e+00,2.297198027372360229e-02,1.712241210043430328e-02
6.000000000000000000e+00,1.902646943926811218e-02,1.945683173835277557e-02
7.000000000000000000e+00,1.809929497539997101e-02,1.445429399609565735e-02
8.000000000000000000e+00,1.949814148247241974e-02,1.456854864954948425e-02
9.000000000000000000e+00,1.617776975035667419e-02,1.516862027347087860e-02
1.000000000000000000e+01,1.655910350382328033e-02,1.454840227961540222e-02
1.100000000000000000e+01,1.470577716827392578e-02,1.144491136074066162e-02
1.200000000000000000e+01,1.523750834167003632e-02,1.065607834607362747e-02
1.300000000000000000e+01,1.362758968025445938e-02,1.157167274504899979e-02
1.400000000000000000e+01,1.363935880362987518e-02,1.169303245842456818e-02
1.500000000000000000e+01,1.274384744465351105e-02,1.239615119993686676e-02
1.600000000000000000e+01,1.273271068930625916e-02,1.387447211891412735e-02
1.700000000000000000e+01,1.316986139863729477e-02,2.024703472852706909e-02
1.800000000000000000e+01,1.282928884029388428e-02,1.034745387732982635e-02
1.900000000000000000e+01,1.169476658105850220e-02,1.473364420235157013e-02
2.000000000000000000e+01,1.169621013104915619e-02,1.095393206924200058e-02
2.100000000000000000e+01,1.252004597336053848e-02,1.108370535075664520e-02
2.200000000000000000e+01,1.160250697284936905e-02,1.226845197379589081e-02
2.300000000000000000e+01,1.011178456246852875e-02,8.470700122416019440e-03
2.400000000000000000e+01,1.092189177870750427e-02,8.462058380246162415e-03
2.500000000000000000e+01,1.118572056293487549e-02,1.202438492327928543e-02
2.600000000000000000e+01,9.618076495826244354e-03,1.176703628152608871e-02
2.700000000000000000e+01,9.460642933845520020e-03,1.032739877700805664e-02
